Process 19 | jobs28-7 | result: 1184040 | start-time: 1664357458.6052954 | end-time: 1664357461.300125 | delta: 2.6948294639587402
Process 20 | jobs24-5 | result: 42504 | start-time: 1664357458.6187482 | end-time: 1664357458.664945 | delta: 0.046196699142456055
Process 20 | jobs27-10 | result: 8436285 | start-time: 1664357458.7124615 | end-time: 1664357466.4289126 | delta: 7.716451168060303
Process 21 | jobs24-4 | result: 10626 | start-time: 1664357458.5916717 | end-time: 1664357458.5936942 | delta: 0.0020225048065185547
Process 21 | jobs15-5 | result: 3003 | start-time: 1664357458.6017323 | end-time: 1664357458.6023293 | delta: 0.0005970001220703125
Process 21 | jobs19-7 | result: 50388 | start-time: 1664357458.6093457 | end-time: 1664357458.686437 | delta: 0.07709121704101562
Process 21 | jobs21-5 | result: 20349 | start-time: 1664357458.7100277 | end-time: 1664357458.718795 | delta: 0.008767366409301758
Process 21 | jobs14-5 | result: 2002 | start-time: 1664357458.7276297 | end-time: 1664357458.7317944 | delta: 0.004164695739746094
Process 21 | jobs10-4 | result: 210 | start-time: 1664357458.7443311 | end-time: 1664357458.7443743 | delta: 4.315376281738281e-05
Process 21 | jobs28-14 | result: 40116600 | start-time: 1664357458.746846 | end-time: 1664357476.1741555 | delta: 17.42730951309204
Process 22 | jobs28-11 | result: 21474180 | start-time: 1664357458.612338 | end-time: 1664357472.4108596 | delta: 13.798521518707275
Process 23 | jobs18-2 | result: 153 | start-time: 1664357458.66512 | end-time: 1664357458.665156 | delta: 3.600120544433594e-05
Process 23 | jobs10-5 | result: 252 | start-time: 1664357458.7101712 | end-time: 1664357458.7102394 | delta: 6.818771362304688e-05
Process 23 | jobs18-6 | result: 18564 | start-time: 1664357458.7126262 | end-time: 1664357458.7164798 | delta: 0.0038535594940185547
Process 23 | jobs29-6 | result: 475020 | start-time: 1664357458.7266743 | end-time: 1664357459.5644886 | delta: 0.8378143310546875
Process 23 | jobs18-9 | result: 48620 | start-time: 1664357459.5918467 | end-time: 1664357459.6568434 | delta: 0.06499671936035156
Process 24 | jobs29-2 | result: 406 | start-time: 1664357458.6565757 | end-time: 1664357458.656666 | delta: 9.036064147949219e-05
Process 24 | jobs24-11 | result: 2496144 | start-time: 1664357458.6717143 | end-time: 1664357462.5897481 | delta: 3.9180338382720947
Process 25 | jobs20-4 | result: 4845 | start-time: 1664357458.7443264 | end-time: 1664357458.7452395 | delta: 0.0009131431579589844
Process 25 | jobs27-11 | result: 13037895 | start-time: 1664357458.7647965 | end-time: 1664357468.8932803 | delta: 10.128483772277832
Process 26 | jobs26-13 | result: 10400600 | start-time: 1664357458.7107186 | end-time: 1664357468.5912926 | delta: 9.880573987960815
Process 27 | jobs25-4 | result: 12650 | start-time: 1664357458.7267928 | end-time: 1664357458.729325 | delta: 0.0025322437286376953
Process 27 | jobs18-7 | result: 31824 | start-time: 1664357458.7320926 | end-time: 1664357458.7478836 | delta: 0.015790939331054688
Process 27 | jobs28-2 | result: 378 | start-time: 1664357458.762848 | end-time: 1664357458.762922 | delta: 7.414817810058594e-05
Process 27 | jobs21-4 | result: 5985 | start-time: 1664357458.7666688 | end-time: 1664357458.767994 | delta: 0.0013251304626464844
Process 27 | jobs15-2 | result: 105 | start-time: 1664357458.7790735 | end-time: 1664357458.7790954 | delta: 2.193450927734375e-05
Process 27 | jobs22-8 | result: 319770 | start-time: 1664357458.781621 | end-time: 1664357459.6358366 | delta: 0.8542156219482422
Process 28 | jobs28-3 | result: 3276 | start-time: 1664357458.7164698 | end-time: 1664357458.7171092 | delta: 0.0006394386291503906
Process 28 | jobs14-4 | result: 1001 | start-time: 1664357458.7227762 | end-time: 1664357458.7229671 | delta: 0.00019097328186035156
Process 28 | jobs25-5 | result: 53130 | start-time: 1664357458.7280884 | end-time: 1664357458.7580662 | delta: 0.029977798461914062
Process 28 | jobs19-2 | result: 171 | start-time: 1664357458.7838287 | end-time: 1664357458.783889 | delta: 6.031990051269531e-05
Process 28 | jobs26-10 | result: 5311735 | start-time: 1664357458.7923133 | end-time: 1664357465.6198378 | delta: 6.827524423599243
Process 29 | jobs21-6 | result: 54264 | start-time: 1664357458.8279152 | end-time: 1664357458.923928 | delta: 0.09601283073425293
Process 29 | jobs11-2 | result: 55 | start-time: 1664357458.9365897 | end-time: 1664357458.936602 | delta: 1.239776611328125e-05
Process 29 | jobs14-6 | result: 3003 | start-time: 1664357458.9493024 | end-time: 1664357458.9498837 | delta: 0.0005812644958496094
Process 29 | jobs29-4 | result: 23751 | start-time: 1664357458.9623146 | end-time: 1664357459.008495 | delta: 0.04618048667907715
Process 29 | jobs15-3 | result: 455 | start-time: 1664357459.0188448 | end-time: 1664357459.0189335 | delta: 8.869171142578125e-05
Process 29 | jobs12-5 | result: 792 | start-time: 1664357459.032515 | end-time: 1664357459.032691 | delta: 0.00017595291137695312
Process 29 | jobs27-4 | result: 17550 | start-time: 1664357459.050164 | end-time: 1664357459.086674 | delta: 0.03650999069213867
Process 29 | jobs27-5 | result: 80730 | start-time: 1664357459.1021338 | end-time: 1664357459.3369133 | delta: 0.23477959632873535
Process 29 | jobs26-7 | result: 657800 | start-time: 1664357459.367407 | end-time: 1664357460.8828497 | delta: 1.5154426097869873
Process 30 | jobs27-13 | result: 20058300 | start-time: 1664357458.7796073 | end-time: 1664357472.6170008 | delta: 13.837393522262573
Process 31 | jobs29-5 | result: 118755 | start-time: 1664357458.8623295 | end-time: 1664357459.096148 | delta: 0.23381853103637695
Process 31 | jobs23-4 | result: 8855 | start-time: 1664357459.1403508 | end-time: 1664357459.1451735 | delta: 0.004822731018066406
Process 31 | jobs22-3 | result: 1540 | start-time: 1664357459.1807709 | end-time: 1664357459.1811507 | delta: 0.00037980079650878906
Process 31 | jobs22-2 | result: 231 | start-time: 1664357459.1945965 | end-time: 1664357459.1946445 | delta: 4.792213439941406e-05
Process 31 | jobs27-6 | result: 296010 | start-time: 1664357459.1993244 | end-time: 1664357460.0881906 | delta: 0.8888661861419678
Process 32 | jobs24-2 | result: 276 | start-time: 1664357458.8403099 | end-time: 1664357458.8403704 | delta: 6.0558319091796875e-05
Process 32 | jobs11-3 | result: 165 | start-time: 1664357458.8453865 | end-time: 1664357458.8454232 | delta: 3.6716461181640625e-05
Process 32 | jobs14-7 | result: 3432 | start-time: 1664357458.8557098 | end-time: 1664357458.8563886 | delta: 0.0006787776947021484
Process 32 | jobs18-5 | result: 8568 | start-time: 1664357458.8629637 | end-time: 1664357458.8645918 | delta: 0.0016281604766845703
Process 32 | jobs20-3 | result: 1140 | start-time: 1664357458.873937 | end-time: 1664357458.8741546 | delta: 0.00021767616271972656
Process 32 | jobs26-8 | result: 1562275 | start-time: 1664357458.8764849 | end-time: 1664357461.9127584 | delta: 3.03627347946167
Process 33 | jobs18-4 | result: 3060 | start-time: 1664357458.9083607 | end-time: 1664357458.9089434 | delta: 0.0005826950073242188
Process 33 | jobs20-2 | result: 190 | start-time: 1664357458.931465 | end-time: 1664357458.9315078 | delta: 4.291534423828125e-05
Process 33 | jobs17-8 | result: 24310 | start-time: 1664357458.9412005 | end-time: 1664357458.9769416 | delta: 0.03574109077453613
Process 33 | jobs24-3 | result: 2024 | start-time: 1664357459.0085738 | end-time: 1664357459.0089488 | delta: 0.0003750324249267578
Process 33 | jobs27-12 | result: 17383860 | start-time: 1664357459.0212874 | end-time: 1664357472.016219 | delta: 12.99493145942688
Process 34 | jobs25-7 | result: 480700 | start-time: 1664357458.861061 | end-time: 1664357459.1554143 | delta: 0.2943532466888428
Process 34 | jobs20-10 | result: 184756 | start-time: 1664357459.1741476 | end-time: 1664357459.3539965 | delta: 0.17984890937805176
Process 34 | jobs23-11 | result: 1352078 | start-time: 1664357459.386555 | end-time: 1664357460.9018762 | delta: 1.5153212547302246
Process 35 | jobs26-9 | result: 3124550 | start-time: 1664357458.880306 | end-time: 1664357463.7057154 | delta: 4.825409412384033
Process 36 | jobs25-6 | result: 177100 | start-time: 1664357458.9683554 | end-time: 1664357459.4055655 | delta: 0.4372100830078125
Process 36 | jobs21-9 | result: 293930 | start-time: 1664357459.4411955 | end-time: 1664357460.2174277 | delta: 0.7762322425842285
Process 37 | jobs22-9 | result: 497420 | start-time: 1664357458.9901311 | end-time: 1664357460.4415388 | delta: 1.4514076709747314
Process 38 | jobs26-11 | result: 7726160 | start-time: 1664357458.9952986 | end-time: 1664357467.0813873 | delta: 8.08608865737915
Process 39 | jobs29-14 | result: 77558760 | start-time: 1664357459.0190425 | end-time: 1664357484.0412412 | delta: 25.02219867706299
Process 40 | jobs21-7 | result: 116280 | start-time: 1664357458.978521 | end-time: 1664357459.0848303 | delta: 0.10630917549133301
Process 40 | jobs16-4 | result: 1820 | start-time: 1664357459.0906136 | end-time: 1664357459.0909615 | delta: 0.0003478527069091797
Process 40 | jobs28-9 | result: 6906900 | start-time: 1664357459.1014369 | end-time: 1664357464.8768709 | delta: 5.7754340171813965
Process 41 | jobs23-5 | result: 33649 | start-time: 1664357459.0393467 | end-time: 1664357459.0803728 | delta: 0.04102611541748047
Process 41 | jobs28-8 | result: 3108105 | start-time: 1664357459.0886703 | end-time: 1664357463.28373 | delta: 4.195059776306152
Process 42 | jobs19-8 | result: 75582 | start-time: 1664357459.044829 | end-time: 1664357459.1359608 | delta: 0.09113192558288574
Process 42 | jobs17-2 | result: 136 | start-time: 1664357459.1427348 | end-time: 1664357459.1427615 | delta: 2.6702880859375e-05
Process 42 | jobs16-7 | result: 11440 | start-time: 1664357459.1748848 | end-time: 1664357459.180706 | delta: 0.00582122802734375
Process 42 | jobs27-7 | result: 888030 | start-time: 1664357459.195125 | end-time: 1664357461.0031316 | delta: 1.8080065250396729
Process 43 | jobs21-10 | result: 352716 | start-time: 1664357459.0673597 | end-time: 1664357459.4417598 | delta: 0.37440013885498047
Process 43 | jobs22-5 | result: 26334 | start-time: 1664357459.4512177 | end-time: 1664357459.5025072 | delta: 0.05128955841064453
Process 43 | jobs22-11 | result: 705432 | start-time: 1664357459.5355647 | end-time: 1664357460.7572784 | delta: 1.2217137813568115
Process 44 | jobs16-5 | result: 4368 | start-time: 1664357459.1095703 | end-time: 1664357459.11048 | delta: 0.0009098052978515625
Process 44 | jobs12-6 | result: 924 | start-time: 1664357459.1399608 | end-time: 1664357459.1402485 | delta: 0.00028777122497558594
Process 44 | jobs26-2 | result: 325 | start-time: 1664357459.1426158 | end-time: 1664357459.1426861 | delta: 7.033348083496094e-05
Process 44 | jobs23-6 | result: 100947 | start-time: 1664357459.1453993 | end-time: 1664357459.2473054 | delta: 0.10190606117248535
Process 44 | jobs20-9 | result: 167960 | start-time: 1664357459.298341 | end-time: 1664357459.5912611 | delta: 0.2929201126098633
Process 45 | jobs19-9 | result: 92378 | start-time: 1664357459.1174502 | end-time: 1664357459.1801248 | delta: 0.06267452239990234
Process 45 | jobs24-9 | result: 1307504 | start-time: 1664357459.1921277 | end-time: 1664357461.973037 | delta: 2.780909299850464
Process 46 | jobs12-4 | result: 495 | start-time: 1664357459.1420772 | end-time: 1664357459.1424353 | delta: 0.0003581047058105469
Process 46 | jobs20-8 | result: 125970 | start-time: 1664357459.172873 | end-time: 1664357459.3663921 | delta: 0.19351911544799805
Process 46 | jobs26-6 | result: 230230 | start-time: 1664357459.4053638 | end-time: 1664357460.1297357 | delta: 0.7243719100952148
Process 47 | jobs13-3 | result: 286 | start-time: 1664357459.1873696 | end-time: 1664357459.1874335 | delta: 6.389617919921875e-05
Process 47 | jobs24-8 | result: 735471 | start-time: 1664357459.214667 | end-time: 1664357460.7574093 | delta: 1.5427422523498535
Process 48 | jobs16-6 | result: 8008 | start-time: 1664357459.2261946 | end-time: 1664357459.230893 | delta: 0.004698276519775391
Process 48 | jobs13-2 | result: 78 | start-time: 1664357459.2473886 | end-time: 1664357459.2474058 | delta: 1.71661376953125e-05
Process 48 | jobs26-3 | result: 2600 | start-time: 1664357459.2763398 | end-time: 1664357459.2768362 | delta: 0.0004963874816894531
Process 48 | jobs13-6 | result: 1716 | start-time: 1664357459.3070722 | end-time: 1664357459.3074193 | delta: 0.000347137451171875
Process 48 | jobs16-2 | result: 120 | start-time: 1664357459.3111186 | end-time: 1664357459.3111432 | delta: 2.4557113647460938e-05
Process 48 | jobs21-8 | result: 203490 | start-time: 1664357459.313802 | end-time: 1664357459.950166 | delta: 0.6363639831542969
Process 49 | jobs17-3 | result: 680 | start-time: 1664357459.3068814 | end-time: 1664357459.3070226 | delta: 0.000141143798828125
Process 49 | jobs27-2 | result: 351 | start-time: 1664357459.3120732 | end-time: 1664357459.3121533 | delta: 8.0108642578125e-05
Process 49 | jobs17-7 | result: 19448 | start-time: 1664357459.333389 | end-time: 1664357459.3479154 | delta: 0.0145263671875
Process 49 | jobs25-9 | result: 2042975 | start-time: 1664357459.3825848 | end-time: 1664357462.7955422 | delta: 3.4129574298858643
Process 50 | jobs22-6 | result: 74613 | start-time: 1664357459.3433177 | end-time: 1664357459.6079783 | delta: 0.2646605968475342
Process 51 | jobs23-7 | result: 245157 | start-time: 1664357459.3088174 | end-time: 1664357460.104277 | delta: 0.795459508895874
Process 52 | jobs12-3 | result: 220 | start-time: 1664357459.352326 | end-time: 1664357459.3523736 | delta: 4.76837158203125e-05
Process 52 | jobs23-2 | result: 253 | start-time: 1664357459.3822153 | end-time: 1664357459.3824942 | delta: 0.0002789497375488281
